10 2000 1 0.03505859524 jer
10 2000 1 0.03505859524 jes
10 2000 1 0.03505859524 lumi24
10 2000 1 0.03505859524 lumi25
10 2000 1 0.03505859524 pdf
10 2000 1 0.03505859524 pileup
10 2000 1 0.03505859524 q2
10 2000 1 0.03505859524 ttag_pt1
10 2000 1 0.03505859524 ttbar_xsec
1 2000 0.5 0.0205078125 jes
1 2000 0.5 0.0205078125 pdf
1 2000 0.5 0.0205078125 q2
1 2000 0.5 0.0205078125 ttag_pt1
1 2000 0.5 0.0205078125 ttbar_xsec
1 4000 0.02 0.0008457031217 jes
1 4000 0.02 0.0008457031217 lumi25
30 2000 1 0.056640625 lumi24
30 4000 0.1 0.005097656511 lumi24
30 4000 0.1 0.005097656511 q2
