1 2000 0.5 0.0205078125 jes
1 2000 0.5 0.0205078125 jer
1 2000 0.5 0.0205078125 pileup
1 2000 0.5 0.0205078125 pdf
1 2000 0.5 0.0205078125 q2
1 2000 0.5 0.0205078125 ttag_pt1
1 2000 0.5 0.0205078125 lumi24
1 2000 0.5 0.0205078125 lumi25
1 2000 0.5 0.0205078125 ttbar_xsec
10 2000 1 0.03505859524 jes
10 2000 1 0.03505859524 jer
10 2000 1 0.03505859524 pileup
10 2000 1 0.03505859524 pdf
10 2000 1 0.03505859524 q2
10 2000 1 0.03505859524 ttag_pt1
10 2000 1 0.03505859524 lumi24
10 2000 1 0.03505859524 lumi25
10 2000 1 0.03505859524 ttbar_xsec
30 2000 1 0.056640625 jes
30 2000 1 0.056640625 jer
30 2000 1 0.056640625 pileup
30 2000 1 0.056640625 pdf
30 2000 1 0.056640625 q2
30 2000 1 0.056640625 ttag_pt1
30 2000 1 0.056640625 lumi24
30 2000 1 0.056640625 lumi25
30 2000 1 0.056640625 ttbar_xsec
1 4000 0.02 0.0008457031217 jes
1 4000 0.02 0.0008457031217 jer
1 4000 0.02 0.0008457031217 pileup
1 4000 0.02 0.0008457031217 pdf
1 4000 0.02 0.0008457031217 q2
1 4000 0.02 0.0008457031217 ttag_pt1
1 4000 0.02 0.0008457031217 lumi24
1 4000 0.02 0.0008457031217 lumi25
1 4000 0.02 0.0008457031217 ttbar_xsec
30 4000 0.1 0.005097656511 jes
30 4000 0.1 0.005097656511 jer
30 4000 0.1 0.005097656511 pileup
30 4000 0.1 0.005097656511 pdf
30 4000 0.1 0.005097656511 q2
30 4000 0.1 0.005097656511 ttag_pt1
30 4000 0.1 0.005097656511 lumi24
30 4000 0.1 0.005097656511 lumi25
30 4000 0.1 0.005097656511 ttbar_xsec
