1 2000 0.5 0.0205078125 651000 15
1 2000 0.5 0.0205078125 651001 15
1 2000 0.5 0.0205078125 651002 15
1 2000 0.5 0.0205078125 651003 15
1 2000 0.5 0.0205078125 651004 15
1 2000 0.5 0.0205078125 651005 15
1 2000 0.5 0.0205078125 651006 15
1 2000 0.5 0.0205078125 651007 15
1 2000 0.5 0.0205078125 651008 15
1 2000 0.5 0.0205078125 651009 15
1 2000 0.5 0.0205078125 651010 15
1 2000 0.5 0.0205078125 651011 15
1 2000 0.5 0.0205078125 651012 15
1 2000 0.5 0.0205078125 651013 15
1 2000 0.5 0.0205078125 651014 15
1 2000 0.5 0.0205078125 651015 15
1 2000 0.5 0.0205078125 651016 15
1 2000 0.5 0.0205078125 651017 15
1 2000 0.5 0.0205078125 651018 15
1 2000 0.5 0.0205078125 651019 15
1 4000 0.02 0.0008457031217 671000 15
1 4000 0.02 0.0008457031217 671001 15
1 4000 0.02 0.0008457031217 671002 15
1 4000 0.02 0.0008457031217 671003 15
1 4000 0.02 0.0008457031217 671004 15
1 4000 0.02 0.0008457031217 671005 15
1 4000 0.02 0.0008457031217 671006 15
1 4000 0.02 0.0008457031217 671007 15
1 4000 0.02 0.0008457031217 671008 15
1 4000 0.02 0.0008457031217 671009 15
1 4000 0.02 0.0008457031217 671010 15
1 4000 0.02 0.0008457031217 671011 15
1 4000 0.02 0.0008457031217 671012 15
1 4000 0.02 0.0008457031217 671013 15
1 4000 0.02 0.0008457031217 671014 15
1 4000 0.02 0.0008457031217 671015 15
1 4000 0.02 0.0008457031217 671016 15
1 4000 0.02 0.0008457031217 671017 15
1 4000 0.02 0.0008457031217 671018 15
1 4000 0.02 0.0008457031217 671019 15
1 7000 0.1 0.004804687575 701000 15
1 7000 0.1 0.004804687575 701001 15
1 7000 0.1 0.004804687575 701002 15
1 7000 0.1 0.004804687575 701003 15
1 7000 0.1 0.004804687575 701004 15
1 7000 0.1 0.004804687575 701005 15
1 7000 0.1 0.004804687575 701006 15
1 7000 0.1 0.004804687575 701007 15
1 7000 0.1 0.004804687575 701008 15
1 7000 0.1 0.004804687575 701009 15
1 7000 0.1 0.004804687575 701010 15
1 7000 0.1 0.004804687575 701011 15
1 7000 0.1 0.004804687575 701012 15
1 7000 0.1 0.004804687575 701013 15
1 7000 0.1 0.004804687575 701014 15
1 7000 0.1 0.004804687575 701015 15
1 7000 0.1 0.004804687575 701016 15
1 7000 0.1 0.004804687575 701017 15
1 7000 0.1 0.004804687575 701018 15
1 7000 0.1 0.004804687575 701019 15
10 4000 0.05 0.001992187463 1571000 15
10 4000 0.05 0.001992187463 1571001 15
10 4000 0.05 0.001992187463 1571002 15
10 4000 0.05 0.001992187463 1571003 15
10 4000 0.05 0.001992187463 1571004 15
10 4000 0.05 0.001992187463 1571005 15
10 4000 0.05 0.001992187463 1571006 15
10 4000 0.05 0.001992187463 1571007 15
10 4000 0.05 0.001992187463 1571008 15
10 4000 0.05 0.001992187463 1571009 15
10 4000 0.05 0.001992187463 1571010 15
10 4000 0.05 0.001992187463 1571011 15
10 4000 0.05 0.001992187463 1571012 15
10 4000 0.05 0.001992187463 1571013 15
10 4000 0.05 0.001992187463 1571014 15
10 4000 0.05 0.001992187463 1571015 15
10 4000 0.05 0.001992187463 1571016 15
10 4000 0.05 0.001992187463 1571017 15
10 4000 0.05 0.001992187463 1571018 15
10 4000 0.05 0.001992187463 1571019 15
30 4000 0.1 0.005097656511 3571000 15
30 4000 0.1 0.005097656511 3571001 15
30 4000 0.1 0.005097656511 3571002 15
30 4000 0.1 0.005097656511 3571003 15
30 4000 0.1 0.005097656511 3571004 15
30 4000 0.1 0.005097656511 3571005 15
30 4000 0.1 0.005097656511 3571006 15
30 4000 0.1 0.005097656511 3571007 15
30 4000 0.1 0.005097656511 3571008 15
30 4000 0.1 0.005097656511 3571009 15
30 4000 0.1 0.005097656511 3571010 15
30 4000 0.1 0.005097656511 3571011 15
30 4000 0.1 0.005097656511 3571012 15
30 4000 0.1 0.005097656511 3571013 15
30 4000 0.1 0.005097656511 3571014 15
30 4000 0.1 0.005097656511 3571015 15
30 4000 0.1 0.005097656511 3571016 15
30 4000 0.1 0.005097656511 3571017 15
30 4000 0.1 0.005097656511 3571018 15
30 4000 0.1 0.005097656511 3571019 15
