1 2000 0.5 425220
1 2000 0.5 425221
1 2000 0.5 425222
1 2000 0.5 425223
1 2000 0.5 425224
1 2000 0.5 425225
1 2000 0.5 425226
1 2000 0.5 425227
1 2000 0.5 425228
1 2000 0.5 425229
10 2000 1 434220
10 2000 1 434221
10 2000 1 434222
10 2000 1 434223
10 2000 1 434224
10 2000 1 434225
10 2000 1 434226
10 2000 1 434227
10 2000 1 434228
10 2000 1 434229
30 2000 1 454220
30 2000 1 454221
30 2000 1 454222
30 2000 1 454223
30 2000 1 454224
30 2000 1 454225
30 2000 1 454226
30 2000 1 454227
30 2000 1 454228
30 2000 1 454229
1 6000 0.02 425260
1 6000 0.02 425261
1 6000 0.02 425262
1 6000 0.02 425263
1 6000 0.02 425264
1 6000 0.02 425265
1 6000 0.02 425266
1 6000 0.02 425267
1 6000 0.02 425268
1 6000 0.02 425269
