1 6000 0.02 bkg 0 0 0 0.01
1 6000 0.02 half 0.000792968727 0 0.000792968727 0.01
1 6000 0.02 one 0.001585937454 0 0.001585937454 0.01
1 6000 0.02 two 0.003171874908 0 0.003171874908 0.01
1 7000 0.1 bkg 0 0 0 0.05
1 7000 0.1 half 0.002402343788 0 0.002402343788 0.05
1 7000 0.1 one 0.004804687575 0 0.004804687575 0.05
1 7000 0.1 two 0.00960937515 0 0.00960937515 0.05
10 6000 0.1 bkg 0 0 0 0.05
10 6000 0.1 half 0.002499999944 0 0.002499999944 0.05
10 6000 0.1 one 0.004999999888 0 0.004999999888 0.05
10 6000 0.1 two 0.009999999776 0 0.009999999776 0.05
10 7000 0.2 bkg 0 0 0 0.1
10 7000 0.2 half 0.004550781101 0 0.004550781101 0.1
10 7000 0.2 one 0.009101562202 0 0.009101562202 0.1
10 7000 0.2 two 0.0182031244 0 0.0182031244 0.1
30 6000 0.2 bkg 0 0 0 0.1
30 6000 0.2 half 0.004287109244 0 0.004287109244 0.1
30 6000 0.2 one 0.008574218489 0 0.008574218489 0.1
30 6000 0.2 two 0.01714843698 0 0.01714843698 0.1
30 7000 0.2 bkg 0 0 0 0.1
30 7000 0.2 half 0.00583984377 0 0.00583984377 0.1
30 7000 0.2 one 0.01167968754 0 0.01167968754 0.1
30 7000 0.2 two 0.02335937508 0 0.02335937508 0.1
