1 2000 1 lumi24 0.01694335974752903
1 2000 1 lumi25 0.01694335974752903
1 2000 1 ttbar_xsec 0.01694335974752903
1 4000 6 lumi24 0.000606536865234375
1 4000 6 lumi25 0.000606536865234375
1 4000 6 ttbar_xsec 0.000606536865234375
1 6000 0.005 lumi24 0.000941406236961484
1 6000 0.005 lumi25 0.000941406236961484
1 6000 0.005 ttbar_xsec 0.000941406236961484
1 7000 0.01 lumi24 0.002593749901279807
1 7000 0.01 lumi25 0.002593749901279807
1 7000 0.01 ttbar_xsec 0.002593749901279807
10 2000 1 lumi24 0.028076171875
10 2000 1 lumi25 0.028076171875
10 2000 1 ttbar_xsec 0.028076171875
10 4000 0.1 lumi24 0.0014160156715661287
10 4000 0.1 lumi25 0.0014160156715661287
10 4000 0.1 ttbar_xsec 0.0014160156715661287
10 6000 0.05 lumi24 0.0032226562034338713
10 6000 0.05 lumi25 0.0032226562034338713
10 6000 0.05 ttbar_xsec 0.0032226562034338713
10 7000 0.05 lumi24 0.0059179686941206455
10 7000 0.05 lumi25 0.0059179686941206455
10 7000 0.05 ttbar_xsec 0.0059179686941206455
30 2000 0.15 lumi24 0.04218750074505806
30 2000 0.15 lumi25 0.04218750074505806
30 2000 0.15 ttbar_xsec 0.04218750074505806
30 4000 0.1 lumi24 0.0035742188338190317
30 4000 0.1 lumi25 0.0035742188338190317
30 4000 0.1 ttbar_xsec 0.0035742188338190317
30 6000 0.05 lumi24 0.005742187611758709
30 6000 0.05 lumi25 0.005742187611758709
30 6000 0.05 ttbar_xsec 0.005742187611758709
30 7000 0.05 lumi24 0.007890624925494194
30 7000 0.05 lumi25 0.007890624925494194
30 7000 0.05 ttbar_xsec 0.007890624925494194
