1 2000 0.5 bkg 0 0 0 0.25
1 2000 0.5 half 0.01025390625 0 0.01025390625 0.25
1 2000 0.5 one 0.0205078125 0 0.0205078125 0.25
1 2000 0.5 two 0.041015625 0 0.041015625 0.25
1 4000 0.02 bkg 0 0 0 0.01
1 4000 0.02 half 0.0004228515608 0 0.0004228515608 0.01
1 4000 0.02 one 0.0008457031217 0 0.0008457031217 0.01
1 4000 0.02 two 0.001691406243 0 0.001691406243 0.01
1 6000 0.02 bkg 0 0 0 0.01
1 6000 0.02 half 0.000792968727 0 0.000792968727 0.01
1 6000 0.02 one 0.001585937454 0 0.001585937454 0.01
1 6000 0.02 two 0.003171874908 0 0.003171874908 0.01
1 7000 0.1 bkg 0 0 0 0.05
1 7000 0.1 half 0.002402343788 0 0.002402343788 0.05
1 7000 0.1 one 0.004804687575 0 0.004804687575 0.05
1 7000 0.1 two 0.00960937515 0 0.00960937515 0.05
10 2000 1 bkg 0 0 0 0.5
10 2000 1 half 0.01752929762 0 0.01752929762 0.5
10 2000 1 one 0.03505859524 0 0.03505859524 0.5
10 2000 1 two 0.07011719048 0 0.07011719048 0.5
10 4000 0.05 bkg 0 0 0 0.025
10 4000 0.05 half 0.0009960937315 0 0.0009960937315 0.025
10 4000 0.05 one 0.001992187463 0 0.001992187463 0.025
10 4000 0.05 two 0.003984374926 0 0.003984374926 0.025
10 6000 0.1 bkg 0 0 0 0.05
10 6000 0.1 half 0.002499999944 0 0.002499999944 0.05
10 6000 0.1 one 0.004999999888 0 0.004999999888 0.05
10 6000 0.1 two 0.009999999776 0 0.009999999776 0.05
10 7000 0.2 bkg 0 0 0 0.1
10 7000 0.2 half 0.004550781101 0 0.004550781101 0.1
10 7000 0.2 one 0.009101562202 0 0.009101562202 0.1
10 7000 0.2 two 0.0182031244 0 0.0182031244 0.1
30 2000 1 bkg 0 0 0 0.5
30 2000 1 half 0.0283203125 0 0.0283203125 0.5
30 2000 1 one 0.056640625 0 0.056640625 0.5
30 2000 1 two 0.11328125 0 0.11328125 0.5
30 4000 0.1 bkg 0 0 0 0.05
30 4000 0.1 half 0.002548828256 0 0.002548828256 0.05
30 4000 0.1 one 0.005097656511 0 0.005097656511 0.05
30 4000 0.1 two 0.01019531302 0 0.01019531302 0.05
30 6000 0.2 bkg 0 0 0 0.1
30 6000 0.2 half 0.004287109244 0 0.004287109244 0.1
30 6000 0.2 one 0.008574218489 0 0.008574218489 0.1
30 6000 0.2 two 0.01714843698 0 0.01714843698 0.1
30 7000 0.2 bkg 0 0 0 0.1
30 7000 0.2 half 0.00583984377 0 0.00583984377 0.1
30 7000 0.2 one 0.01167968754 0 0.01167968754 0.1
30 7000 0.2 two 0.02335937508 0 0.02335937508 0.1
